Time (ms),Velocity
0,0.03
17,0.03
34,0.03
50,0.03
67,0.03
84,0.03
100,0.03
117,0.03
134,0.03
150,0.03
167,0.03
184,0.03
200,0.03
217,0.03
234,0.03
250,0.03
267,0.03
284,0.03
300,0.03
317,0.03
334,0.65
350,0.65
367,2.1
384,2.1
400,2.1
417,3.56
434,3.56
450,3.56
467,3.12
484,3.12
500,3.12
517,2.67
534,2.67
550,2.67
567,2.67
584,2.67
600,2.67
617,2.67
634,2.67
650,2.67
667,1.3
684,1.3
700,1.3
717,1.3
734,1.3
750,1.3
767,1.3
784,1.3
800,1.3
817,1.3
834,1.3
850,7.1
867,7.1
884,7.1
900,8.54
917,8.54
934,8.54
967,3.98
984,3.98
1000,3.99
1017,3.99
1034,3.99
1050,10
1067,10
1084,10
1100,10.33
1117,10.33
1134,10.33
1150,11.32
1167,11.32
1184,12.28
1200,12.28
1217,12.28
1234,13.25
1250,13.25
1267,13.25
1284,14.22
1300,14.22
1317,14.22
1334,15.19
1350,15.19
1367,15.19
1434,19.06
1450,19.06
1467,19.06
1484,20.01
1500,20.01
1517,20.01
1534,20.01
1550,20.01
1567,20.01
1584,20.01
1600,20.01
1617,20.01
1634,20.01
1650,20.01
1667,20.01
1684,20.01
1700,20.01
1717,20.01
1734,20.01
1750,20.01
1767,20.01
1784,20.01
1800,20.01
1817,20.01
1834,20.01
1850,20.01
1867,20.01
1884,20.01
1900,20.01
1917,20.01
1934,20.01
1950,20.01
1967,20.01
1984,20.01
2000,20.01
2017,20.01
2034,20.01
2050,20.01
2067,20.01
2084,20.01
2100,20.01
2117,20.01
2134,20.01
2150,20.01
2167,6.14
2184,6.14
2200,6.46
2217,6.46
2234,6.46
2250,7.23
2267,7.23
2284,7.23
2300,6.73
2317,6.73
2334,6.73
2350,3.05
2367,3.05
2384,3.05
2400,2.57
2417,2.57
2434,2.57
2450,2.09
2467,2.09
2484,2.09
2500,1.62
2517,1.62
2534,1.62
2550,1.14
2567,1.14
2584,0.66
2600,0.66
2617,0.66
2634,0.18
2650,0.18
2667,0.18
2684,0
2700,0
2717,0
2734,0
2750,0
2767,0
2784,0
2800,0
2817,0
2834,0
2850,0
2867,0
2884,0
2900,0
2917,0
2934,0
2950,0
2967,0
2984,0
3000,0
3017,0
3034,0
3050,0
3067,0
3084,0
3100,0
3117,0
3134,0
3150,0
3167,0
3184,0
3200,0
3217,0
3234,0
3250,0
3267,0
3284,0
3300,0
3317,0
3334,0
3350,0
3367,0
3384,0
3400,0
3417,0
3434,0
3450,0
3467,0
3484,0
3500,0
3517,0
3534,0
3550,0
3567,0
3584,0
3600,0
3617,0
3634,0
3650,0
3667,0
3684,0
3700,0
3717,0
3734,0
3750,0
3767,0
3784,0
3800,0
3817,0
3834,0
3850,1.12
3867,1.12
3884,1.12
3900,2.56
3917,2.56
3934,4.01
3950,4.01
3967,4.01
3984,5.45
4000,5.45
4017,5.45
4034,6.89
4050,6.89
4067,6.89
4084,8.33
4100,8.33
4117,8.33
4134,3.77
4150,3.77
4167,9.77
4184,10
4200,10
4217,10
4234,10
4250,10
4267,10
4284,10
4300,10
4317,10
4334,10
4350,10
4367,10
4384,10
4400,10
4417,10
4434,10
4450,10
4467,3.68
4484,3.68
4500,3.68
4517,3.24
4534,3.24
4550,3.24
4567,8.78
4584,8.78
4600,8.78
4617,8.32
4634,8.32
4650,8.32
4667,7.87
4684,7.87
4700,7.87
4717,7.41
4734,7.41
4750,7.41
4767,6.94
4784,6.94
4800,6.94
4817,6.48
4834,6.48
4850,6.01
4867,6.01
4884,6.01
4900,5.54
4917,5.54
4934,5.54
4950,5.09
4967,5.09
4984,5.09
5000,4.34
5017,4.34
5034,4.34
5050,4.32
5067,4.32
5084,4.32
5100,6.36
5117,6.36
5134,6.36
5150,7.8
5167,7.8
5184,7.8
5200,8.6
5217,8.6
5234,8.11
5250,8.11
5267,8.11
5284,7.63
5300,7.63
5317,7.63
5384,6.66
5400,6.66
5417,6.66
5434,6.17
5450,6.17
5467,6.17
5484,5.68
5500,5.68
5517,5.68
5534,5.2
5550,5.2
5567,5.2
5584,4.71
5600,4.71
5617,4.71
5634,4.22
5650,4.22
5667,4.22
5684,3.74
5700,3.74
5717,3.74
5734,3.9
5750,3.9
5767,4.49
5784,4.49
5800,4.49
5817,5.93
5834,5.93
5850,5.93
5867,6.09
5884,6.09
5900,6.09
5917,5.6
5934,5.6
5950,5.6
5967,5.11
5984,5.11
6000,5.11
6017,2.71
6034,2.71
6050,2.71
6067,0.36
6084,0.36
6100,1.47
6117,1.47
6134,1.47
6150,2.93
6167,2.93
6184,2.93
6200,4.38
6217,4.38
6234,4.38
6250,5.83
6267,5.83
6284,5.83
6300,7.27
6317,7.27
6334,7.27
6350,8.71
6367,8.71
6384,8.71
6400,10
6417,10
6434,10
6450,10
6467,10
6484,10
6500,10
6517,10.64
6534,10.64
6550,11.6
6567,11.6
6584,11.6
6600,12.56
6617,12.56
6634,12.56
6650,13.52
6667,13.52
6684,14.48
6700,14.48
6717,14.48
6734,14.48
6750,15.76
6767,15.76
6784,15.76
6800,17.69
6817,17.69
6834,17.69
6850,19.61
6867,19.61
6884,20.01
6900,20.01
6917,20.01
6934,20.05
6950,20.05
6967,20.05
6984,20.07
7000,20.07
7017,20.07
7034,20.07
7050,20.07
7067,20.07
7084,20.07
7100,20.07
7117,20.07
7134,20.07
7150,20.07
7167,20.07
7184,20.07
7200,20.07
7217,20.07
7234,20.07
7250,20.07
7267,20.07
7284,20.07
7300,20.07
7317,20.07
7334,20.09
7350,20.09
7367,20.09
7384,20.11
7400,20.11
7417,20.11
7434,20.11
7450,20.11
7467,20.11
7484,20.11
7500,20.11
7517,20.18
7534,20.18
7550,20.18
7567,20.22
7584,20.22
7600,20.22
7617,0.45
7634,0.45
7650,0.45
7667,0.4
7684,0.4
7700,0.4
7717,1.41
7734,1.41
7750,2.87
7767,2.87
7784,2.87
7800,4.31
7817,4.31
7834,4.31
7850,5.11
7867,5.11
7884,5.11
7900,4.64
7917,4.64
7934,4.64
7950,4.17
7967,4.17
7984,4.17
8000,4.97
8017,4.97
8034,4.97
8050,6.41
8067,6.41
8084,6.41
8100,7.85
8117,7.85
8134,3.29
8150,3.29
8167,9.29
8184,10
8200,10
8217,10
8234,10
8250,10
8267,10
8284,10
8300,10
8317,10
8333,10
8350,10
8367,10
8383,10
8400,10
8417,10
8433,10
8450,10
8467,10
8483,10
8500,10
8517,10
8533,10
8550,10
8567,10
8583,10
8600,10
8617,10
8633,10
8650,10
8667,10
8683,10
8700,10
8717,10
8733,10
8750,10
8767,10
8783,10
8800,10
8817,10
8833,10
8850,10
8867,10
8883,10
8900,10
8917,10
8933,10
8950,10
8967,10
8983,10
9000,10
9017,10
9033,10
9050,10
9067,10
9083,10
9100,10
9117,10
9133,10
9150,8.66
9167,8.66
9183,8.66
9200,6.84
9217,6.84
9233,6.84
9250,6.32
9267,6.32
9283,6.32
9300,7.73
9317,7.73
9333,3.19
9350,3.19
9367,3.19
9383,10
9400,10
9417,10
9433,3.53
9450,3.53
9467,3.53
9483,3.06
9500,3.06
9517,3.06
9533,8.59
9550,8.59
9567,8.59
9583,8.1
9600,8.1
9617,8.1
9633,5.69
9650,5.69
9667,5.69
9683,3.29
9700,3.29
9717,3.29
9733,0.9
9750,0.9
9767,0.9
9783,1.12
9800,1.12
9817,1.12
9833,2.56
9850,2.56
9867,4
9883,4
9900,4
9917,5.44
9933,5.44
9950,5.44
9967,6.89
9983,6.89
10000,6.89
10017,8.33
10033,8.33
10050,8.33
10067,3.77
10083,3.77
10100,3.77
10117,3.77
10133,10.55
10150,10.55
10167,10.55
10183,11.5
10200,11.5
10217,11.5
10233,12.57
10250,12.57
10267,13.52
10283,13.52
10300,13.52
10317,14.49
10333,14.49
10350,14.49
10367,15.77
10383,15.77
10400,15.77
10417,17.71
10433,17.71
10450,17.71
10467,19.65
10483,19.65
10500,19.65
10517,20.02
10533,20.02
10550,20.02
10567,20.06
10583,20.06
10600,20.09
10617,20.09
10633,20.09
10650,20.17
10667,20.17
10683,20.17
10700,20.26
10717,20.26
10733,20.26
10750,20.34
10767,20.34
10783,20.34
10800,20.43
10817,20.43
10833,20.43
10850,20.48
10867,20.48
10883,20.48
10900,20.43
10917,20.43
10933,20.5
10950,20.5
10967,20.5
10983,20.5
11000,20.5
11017,20.5
11033,20.5
11050,20.5
11067,20.5
11083,16.87
11100,16.87
11117,16.87
11133,16.6
11150,16.6
11167,16.6
11183,16.33
11200,16.33
11217,16.33
11233,15.99
11250,15.99
11267,15.99
11283,15.64
11300,15.64
11317,15.64
11333,15.22
11350,15.22
11367,15.22
11383,14.95
11400,14.95
11417,14.95
11433,14.81
11450,14.81
11467,14.15
11483,14.15
11500,14.15
11517,13.51
11533,13.51
11550,13.51
11567,12.89
11583,12.89
11600,12.89
11617,12.31
11633,12.31
11650,12.31
11667,11.75
11683,11.75
11700,11.75
11717,11.23
11733,11.23
11750,11.23
11767,10.74
11783,10.74
11800,10.31
11817,10.31
11833,10.31
11850,3.92
11867,3.92
11883,3.92
11900,3.6
11917,3.6
11933,3.6
11950,9.34
11967,9.34
11983,9.34
12000,3.15
12017,3.15
12033,3.15
12050,8.74
12067,8.74
12083,8.74
12100,7.83
12117,7.83
12133,7.02
12150,7.02
12167,7.02
12183,6.35
12200,6.35
12217,6.35
12233,5.86
12250,5.86
12267,5.86
12283,5.62
12300,5.62
12317,5.62
12333,5.64
12350,5.64
12367,5.64
12383,6.03
12400,6.03
12417,6.03
12433,6.72
12450,6.72
12467,6.72
12483,7.43
12500,7.43
12517,7.43
12534,8.15
12550,8.15
12567,8.15
12584,8.87
12600,8.87
12617,8.87
12634,9.59
12650,9.59
12667,10.3
12684,10.3
12700,10.3
12717,11.01
12734,11.01
12750,11.01
12767,11.71
12784,11.71
12800,11.71
12817,12.4
12834,12.4
12850,12.4
12867,13.08
12884,13.08
12900,13.08
12917,13.74
12934,13.74
12950,14.39
12967,14.39
12984,14.39
13000,15.02
13017,15.02
13034,15.02
13050,15.64
13067,15.64
13084,15.64
13100,3.2
13117,3.2
13134,3.2
13150,2.68
13167,2.68
13184,2.68
13200,2.17
13217,2.17
13234,2.17
13250,1.65
13267,1.65
13284,1.14
13300,1.14
13317,1.14
13334,0.62
13350,0.62
13367,0.62
13384,0.62
13400,0.1
13417,0.1
13434,0.1
13450,0.01
13467,0.01
13484,0.01
13500,0.01
13517,0.01
13534,0.01
13550,0.01
13567,0.01
13584,0.01
13600,0.01
13617,0.01
13634,0.01
13650,0.01
13667,0.01
13684,1.12
13700,1.12
13717,1.12
13734,2.56
13750,2.56
13767,2.56
13784,4
13800,4
13817,5.45
13834,5.45
13850,5.45
13867,6.91
13884,6.91
13900,6.91
13917,8.36
13934,8.36
13950,8.36
13967,9.82
13984,9.82
14000,9.82
14017,10
14034,10
14050,10
14067,10
14084,10
14100,10
14117,10
14134,10
14150,10
14167,10
14184,10
14200,10.01
14217,10.01
14234,10.01
14250,10.01
14267,10.01
14284,10.01
14300,10.01
14317,10.01
14334,10.01
14350,10.01
14367,10.01
14384,10.01
14400,10.02
14417,10.02
14434,10.02
14450,10
14467,10
14484,10
14500,10
14517,10
14534,10
14550,10
14567,10
14584,10
14600,10
14617,10
14634,10
14650,10
14667,10
14684,10
14700,10
14717,10
14734,10
14750,10
14767,10
14784,10
14800,10
14817,10
14834,10
14850,10
14867,10
14884,10
14900,10
14917,10
14934,10
14950,10
14967,10
14984,10
15000,10
15017,10
15034,10
15050,10
15067,10
15084,10
15100,10
15117,10.01
15134,10.01
15150,10.01
15167,10.01
15184,10.01
15200,10.01
15217,10.01
15234,10.01
15250,10.01
15267,10
15284,10
15300,10
15317,10
15334,10
15350,10
15367,10
15384,10
15400,10
15417,10
15434,10
15450,10
15467,10
15484,10
15500,10
15517,10
15534,10
15550,10.01
15567,10.01
15584,10.01
15600,10
15617,10
15634,10
15650,10
15667,10
15684,10
15700,10.01
15717,10.01
15734,10.01
15750,10.01
15767,10.01
15784,10.01
15800,10.01
15817,10.01
15834,10.01
15850,10.01
15867,10.01
15884,10
15900,10
15917,10
15934,10
15950,10
15967,10
15984,10
16000,10
16017,10
16034,10
16050,10
16067,10
16084,10
16100,10
16117,10
16134,10
16150,10
16167,10
16184,10
16200,10
16217,10
16234,10
16250,10
16267,10
16284,10
16300,10
16317,10
16334,3.99
16350,3.99
16367,3.99
16384,10
16400,10
16417,10
16434,10.01
16450,10.01
16467,10.01
16484,10.02
16500,10.02
16517,10.02
16534,10.02
16550,10.02
16567,10.01
16584,10.01
16600,10.01
16617,10.34
16634,10.34
16650,10.34
16667,11.31
16684,11.31
16700,11.31
16717,12.27
16734,12.27
16750,12.27
16767,13.24
16784,13.24
16800,13.24
16817,14.2
16834,14.2
16850,14.2
16867,15.18
16884,15.18
16900,15.18
