Item,Brand and style,Quantity,Calories,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Carbs,Sugar,Protein,Fiber,Sodium
Brown rice,"365 Everyday Value, long grain",150g,570,4.5,0,0,0,0,117,0,12,6,0
Whole wheat bread,"Brownberry, whole grains",2 slices,220,4,0,0,2,0,42,6,8,6,320
Whole wheat cereal,"365 Everyday Value, wheat squares",60g,220,1,0,0,0,0,47,0,7,5,5
Whole wheat muffin,"Aunt Millie's, english muffins",1 muffin,110,1.5,0,0,0.5,0,21,1,6,3,180
Whole wheat pasta,"Barilla, whole grain penne",4oz,360,3,0,0,0,0,78,2,16,14,0
Boneless skinless chicken breast,N/A,3oz,135,3,1,1,0.5,100,0,0,28,0,40
Salmon,N/A,6oz,270,9,1.5,3,1.5,95,0,0,43,0,690
Pinto beans,365 Everyday Value,455g,350,0,0,0,0,0,67,2,25,28,18
Black beans,365 Everyday Value,455g,385,0,0,0,0,0,74,3,25,25,35
Peanut butter,"Jif, creamy",33g,190,16,3.5,0,0,0,8,3,7,2,140
Eggs,Grade A large brown,2 eggs,180,14,4,6,3,370,1,0,12,0,190
Vanilla soymilk,"Silk, vanilla",1 cup,100,3.5,0.5,0.5,2,0,11,9,6,1,85
Unsweet soymilk,"Silk, unsweet vanilla",1 cup,80,4,0.5,1,2.5,0,4,1,7,2,70
Spinach,N/A,60g,15,0,0,0,0,0,2,0,2,1,50
Broccoli,"Essential Everyday, frozen",2 cups,60,0,0,0,0,0,8,4,4,4,40
Carrots,"Green Giant, baby cut Carrots",4.5oz,55,0,0,0,0,0,12,8,1,3,98
Tomatoes,"Garden Ripe, grape tomatoes",100g,95,0.5,0,0,0,0,6,0,1,2,6
Banana,N/A,1 banana,110,0,0,0,0,0,29,15,1,3,1
Strawberries,"Nature Blessed, frozen",1 cup,45,0,0,0,0,0,12,6,0,3,3
Mangos,"Nature Blessed, frozen",1 cup,75,0,0,0,0,0,20,19,1,1,1
Strawberry jam,"Smucker's, squeeze",20g,50,0,0,0,0,0,13,12,0,0,0
Marinara sauce,"Ragu Simply, chunky",0.25 cups,35,1,0,0,0,0,6,4,1,1,245
American cheese,"Dutch Farms, american singles",1 slice,70,5,0,0,0,0,2,0,3,0,300
Olive oil,"365 Everyday Value, extra virgin",1 tbsp,120,14,2,0,0,0,0,0,0,0,0
Salt,"Morton, coarse kosher ",0.25 tsp,0,0,0,0,0,0,0,0,0,0,480
