Category,Product,Energy value (kcal),Protein (g),Fat (g),Saturated fat (g),Cholesterol (mg),Vitamin B12 (mcg),Na (mg),P (mg),Fe (mg),Zn (mg)
"Meat, raw/unprepared unless noted otherwise", Beef ribeye (longissimus thoracis),166,17.51,22.07,9,68,3.11,56,168,1.87,3.85
"Meat, raw/unprepared unless noted otherwise", Beef strip loin (longissimus lumborum),228,20.61,15.49,6.251,81,1.06,52,186,1.47,3.53
"Meat, raw/unprepared unless noted otherwise", Beef tenderloin (psoas major),247,19.61,18.16,8.41,85,1.01,50,180,1.42,2.9
"Meat, raw/unprepared unless noted otherwise", Beef top sirloin (gluteus mediuset al.),201,20.3,12.71,5.127,75,1.05,52,187,1.48,3.55
"Meat, raw/unprepared unless noted otherwise", Beef tri-tip (m. tensor fasciae latae),142,21.26,5.63,1.729,61,1.04,54,198,1.54,3.85
"Meat, raw/unprepared unless noted otherwise", Beef eye of round (semitendinosus),124,23.27,3.44,1.276,60,1.83,53,221,1.45,3.4
"Meat, raw/unprepared unless noted otherwise", Beef brisket (deep pectoral et al.),132,21.47,5.11,1.844,67,1.81,83,222,2.06,5.21
"Meat, raw/unprepared unless noted otherwise", Beef flank (rectus abdominis),155,21.22,7.17,2.978,65,1.09,54,195,1.55,3.7
"Meat, raw/unprepared unless noted otherwise"," Beef, ground 80% lean, 20% fat",254,17.17,20,7.581,71,2.14,66,158,1.94,4.18
"Meat, raw/unprepared unless noted otherwise"," Beef, ground 90% lean, 10% fat",176,20,10,3.927,65,2.21,66,184,2.24,4.79
"Meat, raw/unprepared unless noted otherwise"," Beef, ground 93% lean, 7% fat",152,20.85,7,2.878,63,2.23,66,192,2.33,4.97
"Meat, raw/unprepared unless noted otherwise"," Beef, ground 97% lean, 3% fat",121,21.98,3,1.48,60,2.26,66,203,2.44,5.21
"Meat, raw/unprepared unless noted otherwise", Pork loin (longissimus lumborum),198,19.74,12.58,4.36,63,0.53,50,197,0.79,1.74
"Meat, raw/unprepared unless noted otherwise", Pork ham (biceps femoris et al.),245,17.43,18.87,6.54,73,0.63,47,199,0.85,1.93
"Meat, raw/unprepared unless noted otherwise"," Pork, ground 84% lean, 16% fat",218,17.99,16,4.93,68,0.73,68,161,0.88,1.91
"Meat, raw/unprepared unless noted otherwise"," Pork, ground 96% lean, 4% fat",121,21.1,4,1.42,59,0.64,67,190,0.86,1.93
"Meat, raw/unprepared unless noted otherwise", Lamb loin (longissimus lumborum),310,16.32,26.63,11.76,74,2.04,56,152,1.61,2.53
"Meat, raw/unprepared unless noted otherwise", Lamb leg (biceps femoris et al),230,17.91,17.07,7.43,69,2.5,56,170,1.66,3.32
"Meat, raw/unprepared unless noted otherwise"," Lamb, ground 85% lean, 15% fat",255,17.14,20.71,9.926,73,–,77,–,1.41,–
"Meat, raw/unprepared unless noted otherwise", Chicken breast (pectoralis major),120,22.5,2.62,0.563,73,0.21,45,213,0.37,0.68
"Meat, raw/unprepared unless noted otherwise", Chicken thigh (iliotibialis et al.),221,16.52,16.61,4.524,98,0.62,81,157,0.68,1.29
"Meat, raw/unprepared unless noted otherwise", Turkey breast (pectoralis major),157,21.89,7.02,1.91,65,0.42,59,186,1.2,1.57
"Meat, raw/unprepared unless noted otherwise", Turkey thigh (iliotibialis et al.),116,20.6,3.69,0.782,78,2.17,75,177,1.42,2.95
"Meat, raw/unprepared unless noted otherwise"," Turkey, ground, 93% lean, 15% fat",150,18.73,8.34,2.17,74,1.2,69,193,1.17,2.53
