Category,Product,Retail Cost/100 g (US$),Source of estimationb,Energy value (kcal/US$),Protein (g/US$),Vitamin B12 (mcg/US$),P (mg/US$),Fe (mg/US$),Zn (mg/US$)
"Meat, raw/unprepared unless noted otherwise", Beef ribeye (longissimus thoracis),1.81,"USDA, AMS, 2016",91.71,9.67,1.72,92.82,1.03,2.13
"Meat, raw/unprepared unless noted otherwise", Beef strip loin (longissimus lumborum),1.7262,"USDA, AMS, 2016",132.08,11.94,0.61,107.75,0.85,2.04
"Meat, raw/unprepared unless noted otherwise", Beef tenderloin (psoas major),2.4449,"USDA, AMS, 2016",101.03,8.02,0.41,73.62,0.58,1.19
"Meat, raw/unprepared unless noted otherwise", Beef top sirloin (gluteus medius et al.),1.1244,"USDA, AMS, 2016",178.77,18.05,0.93,166.32,1.32,3.16
"Meat, raw/unprepared unless noted otherwise", Beef tri-tip (m. tensor fasciae latae),1.1861,"USDA, AMS, 2016",119.72,17.92,0.88,166.94,1.3,3.25
"Meat, raw/unprepared unless noted otherwise", Beef eye of round (semitendinosus),1.0141,"USDA, AMS, 2016",122.27,22.95,1.8,217.92,1.43,3.35
"Meat, raw/unprepared unless noted otherwise", Beef brisket (deep pectoralet al.),0.8995,"USDA, AMS, 2016",146.75,23.87,2.01,246.81,2.29,5.79
"Meat, raw/unprepared unless noted otherwise", Beef flank (rectus abdominis),1.6998,"USDA, AMS, 2016",91.19,12.48,0.64,114.72,0.91,2.18
"Meat, raw/unprepared unless noted otherwise"," Beef, ground 80% lean, 20% fat",0.7319,"USDA, AMS, 2016",347.03,23.46,2.92,215.87,2.65,5.71
"Meat, raw/unprepared unless noted otherwise"," Beef, ground 90% lean, 10% fat",1.0362,"USDA, AMS, 2016",169.86,19.3,2.13,177.58,2.16,4.62
"Meat, raw/unprepared unless noted otherwise"," Beef, ground 93% lean, 7% fat",1.0362,"USDA, AMS, 2016",146.69,20.12,2.15,185.3,2.25,4.8
"Meat, raw/unprepared unless noted otherwise"," Beef, ground 97% lean, 3% fat",1.0362,"USDA, AMS, 2016",116.78,21.21,2.18,195.91,2.35,5.03
"Meat, raw/unprepared unless noted otherwise", Pork loin (longissimus lumborum),0.4123,"USDA, AMS, 2016",480.27,47.88,1.29,477.85,1.92,4.22
