start,end,map,result,Role
8:26:57,8:27:18,outro,times,DPS
05:04,22:44,King's Row,Defeat,DPS
23:45,32:22,Lijiang,Victory,DPS
34:11,59:19,Rialto,Victory,DPS
1:00:08,1:19:05,Eichenwalde,Defeat,DPS
1:21:35,1:33:14,Ilios,Victory,DPS
1:36:39,1:56:56,Dorado,Victory,DPS
1:58:23,2:25:17,Hollywood,Defeat,DPS
2:29:35,2:46:36,Route 66,Victory,DPS
2:47:26,3:03:08,Busan,Defeat,DPS
10:04,10:52,King's Row,lol what a dead eye,DPS
22:10,22:42,King's Row,reaction to what a dead eye,DPS
1:53:59,1:54:48,Dorado,"insane flank + dead eye ""I am just surprised as you are""",DPS
1:56:14,1:57:07,Dorado,Reaction to insane flank + dead eye,DPS
2:42:50,2:43:14,Route 66,RIP Zac,DPS
2:45:12,2:45:43,Route 66,I got 4,DPS
3:41:15,3:55:36,Busan,Defeat,DPS
4:07:17,4:23:48,Havana,Victory,DPS
4:51:20,4:59:39,Paris,Defeat,DPS
5:06:26,5:23:50,Blizzard World,Defeat,DPS
5:34:27,5:46:27,Rialto,Victory,DPS
5:51:50,6:00:02,Temple of Anubis,Victory,Support
6:09:39,6:23:39,Hanamura,Victory,Support
6:32:34,6:45:18,Gibraltar,Defeat,Support
6:51:46,7:00:55,Hollywood,Defeat,Support
7:13:34,7:28:06,Route 66,Victory,Support
7:14,24:47,King's Row,Victory,DPS
26:44,37:58,Ilios,Defeat,DPS
39:55,51:52,Dorado,Victory,DPS
55:50,1:12:30,Eichenwalde,Defeat,DPS
1:15:07,1:30:21,Lijiang,Victory,DPS
1:32:45,1:59:04,Route 66,Victory,DPS
2:07:16,2:26:12,Hollywood,Defeat,DPS
0:43,17:17,Route 66,Defeat,DPS
18:13,30:20,Lijiang,Victory,DPS
31:06,43:47,Nepal,Victory,DPS
45:05,1:01:17,Paris,Victory,DPS
0:53,12:58,Temple of Anubis,Victory,Tank
15:28,27:29,Numbani,Victory,Tank
28:23,41:30:00,Rialto,Defeat,Tank
42:26,56:15,King's Row,Defeat,Tank
56:58,56:58,Oasis,Victory,Tank
1:11:00,1:29:11,Hanamura,Victory,Tank
10:33,29:51,King's Row,Defeat,DPS
33:03,52:35,Hollywood,Defeat,DPS
2:00:29,2:14:40,Hollywood,Defeat,DPS
2:16:34,2:37:30,King's Row,Defeat,DPS
3:01:10,3:02:52,Route 66,Victory,DPS
0:00,26:59,Route 66,Victory,DPS
28:43,36:04,King's Row,Victory,DPS
0:00,13:21,King's Row,Victory,DPS
24:06,46:35,King's Row,Defeat,DPS
47:14,1:02:20,Dorado,Defeat,DPS
6:47,21:16,Ilios,Defeat,DPS
10:08,28:12,King's Row,Victory,DPS
12:46,13:27,King's Row,Hanzo Yeet,DPS
31:01,44:20,Dorado,Victory,DPS
1:33:10,1:42:17,Ilios,Defeat,DPS
